"","comicTitle","comicSummary","comicRating"
"1","소피아가 머리카락을 쓸어넘길 때","학원 일상 추리","9.91"
"2","이상한사무실","디자인 회사 이야기","9.74"
"3","아빠는 N살","아빠 4컷 그림일기","9.91"
"4","오롯이 당신을 위한 식탁","아기주부 생존식탁툰","9.74"
"5","오늘도 그래고래","귀여움으로 승부한다","9.91"
"6","도와줘요 사신님!","인간 되기 싫어요","9.43"
"7","게으른 고양이의 soso한 카페이야기","카페운영일상툰","9.85"
"8","급식이조아","리얼 급식 성장기","8.88"
"9","EQ","미스터리 공감로맨스","9.74"
"10","런어웨이","초능력 소녀,그의 소유물이 되다","9.85"
"11","솔로의 연애","연애할 수 있을까~","9.91"
"12","하아의 하루","강아지 일상툰!","9.89"
"13","카나와 초나의 독일","독일 생존기","9.90"
"14","오늘 하루도 말랑멜랑","웃픈 우울증 이야기","9.91"
"15","게임에 접속했습니다!","게임하는 고딩들","9.90"
"16","아버지 이야기","이야기들 개그/일상","9.82"
"17","나는 마요 집사로소이다","쉽지 않은 집사생활","9.93"
"18","CMYK","의식의 흐름 만화","9.16"
"19","이웃집 유부녀","일상툰","9.91"
"20","지극히 평범한 생활","말만 평범한 일상툰","9.91"
"21","신과의 대화","특별한 능력의 소년과 특이한 사연의 소녀의 만남! 그 만남이 가져오는 다양한 사건들. 그리고 운명!","9.81"
"22","가짜 좀비왕 4컷","일하기 싫은 가짜 좀비왕, 하루에 4컷만 완성하면 살아 남는다.","8.76"
"23","노바","코지 미스테리 로판","9.90"
"24","치즈범벅","치즈고양이형제 일상","9.84"
"25","괜찮아, 고3이야","너와나의 리얼고3툰","9.91"
"26","휴지통","잔부스러기같은 행복","9.87"
"27","모던 던전 판타지아","현대풍 던전판타지.","9.80"
"28","윤덩까툰","흔한 일상공감툰","9.68"
"29","소환진이 좀 이상해 보이는 건 기분 탓이겠지","판타지 일상물","9.87"
"30","크리비 (Crea.B)","크르르릉","9.78"
"31","반오십부터 그림일기","평범한 으른일기","9.83"
"32","오늘의 초능력","1일1초능력 소녀","9.54"
"33","휘슬링","사랑의 신 에로스","9.44"
"34","500원 토끼","500원토끼의 일상","9.83"
"35","자체공강","대학물인척하는 만화","9.91"
"36","광해와 이순신","전쟁을 이긴 영웅들","9.62"
"37","여행하기 좋운날","TMI 여행일지","9.91"
"38","내 룸메이트는 마네킹","마네킹과 산다고 ?","9.73"
"39","30일후","미래를 알게된 남자","9.66"
"40","죽음과 동화","호러.판타지.로맨스","9.87"
"41","산군대잔치","산군의 일상툰","9.93"
"42","미스터 신데렐라","신데렐라가 남자라면","9.87"
"43","클리셰","악당들의 입장에서!","9.59"
"44","시간의 뒷면","위험한 시간여행","9.66"
"45","미호의 첫사랑","구미호의 첫사랑","9.38"
"46","낮잠 자는 사람들","지하창작인밀착일상툰","9.91"
"47","좋아하는거 참으면 병나요!","좋아하는건 못참아","9.78"
"48","오늘을 담다.","도시락 일상이야기","9.90"
"49","Jun과 나","실화에서 시작된 예대속 색있는 사람들의 색있는 이야기.","9.89"
"50","주작작 주주작","영짐승 배틀물","9.63"
"51","쏘 판타지","So fantasy","9.90"
"52","운명...인가요?","나와 이어진 운명은","9.91"
"53","중등 생활 보고서","현실 중딩 보고서","8.99"
"54","정신과심리만화 by 팔호광장","알고싶니 마음","9.72"
"55","A girl like alien","외계인 같은 소녀.","9.79"
"56","쿤도브라더스","개와 고양이의 동거","9.91"
"57","소울","코믹액션 더하기 환타지","8.91"
"58","무대에 서지 않지만 배우입니다","배우 지망생 이야기","9.88"
"59","알콜일기","취할것같은 이야기!","9.90"
"60","낯가리는 관종","낯가리는 관종일기","9.92"
"61","신혼좀비","러브 코믹 호러","9.86"
"62","너구리네 육아일기","육아일기","9.85"
"63","여자 공수혁","수혁이 학원기","9.93"
"64","타인 행성 표류기","막장 실화 일상툰","9.77"
"65","킬러5","다섯 명의 킬러들","9.81"
"66","빛, 봉인의 열쇠","마스터 키를 찾아서","9.75"
"67","이탈자","사자使者와 동거동락","9.81"
"68","잘먹는 가","먹는게 낙인 가족들","9.82"
"69","더 리턴","왜 우린 달라?","9.75"
"70","우리는 친한친구","친한친구 이야기","9.63"
"71","무엇이든 그려드립니닷!","무엇이든그려드립니닷","9.91"
"72","너의 여집합","네가 없는 세상","9.86"
"73","애플 에이지","성범죄 웹툰","9.87"
"74","아무도 믿지마","두뇌 심리게임","9.83"
"75","이브의 꿈속친구","꿈에서 만난 친구","9.85"
"76","달리자, 호주!","본격호주워킹만화","9.78"
"77","잔액이 부족합니다","대중교통 일상툰","9.90"
"78","사는 게 이게 모양?!","모양이와 일상생존기","9.83"
"79","너어는지인짜","왜 그러니","9.63"
"80","천사는 야옹","고양이가 사실 천사","9.91"
"81","30일의 시간여행","3-40대 만화","8.92"
"82","실험학교","변형자들의 학교","9.88"
"83","무선혜드셋 정보툰!!","잡상식을 재미있게","9.87"
"84","화분","그런 세상 이야기","9.92"
"85","당할연","당신도할수있다연애","7.35"
"86","웰캄 투 실버라이프","할머니! 할아버지!","9.93"
"87","제 소원을 들어주세요!","중요한걸 잊고있었어","9.90"
"88","심연","비윤리적인 실험","9.79"
"89","전지적덕후시점","나의 덕질 라이프","9.64"
"90","업사이클 다이어리","버리면 애물단지 손대면 나만의 예술작품","9.71"
"91","일상견문록","다른나라 일상이야기","9.87"
"92","마이툰","두딸키우는 아재일상","9.68"
"93","용사님이시다","전통 판타지 만화?","9.84"
"94","곰팡남녀","보통의 경계","9.91"
"95","옆집에 그녀가 산다","옆집의 특별한그녀!","9.67"
"96","저승파견고용직","기묘한 만화","9.92"
"97","영웅 소녀","사랑과 전쟁","8.90"
"98","매지컬팡","명랑만화 매지컬팡","9.90"
"99","원인탐구생활","일상, 고양이","9.91"
"100","주짓수와 고양이","주짓수와 고양이","9.83"
"101","소망툰","왈가닥냥과 같이살기","9.93"
"102","제목이 7080 만화","7080 이야기","9.91"
"103","로그 아일","판타지 생존기","9.76"
"104","웨일즈","인어와 인어사냥꾼","9.92"
"105","도원향","우주경찰서 도원향","9.88"
"106","말랑말랑 생활사","말랑말랑한 생활","9.68"
"107","3인3색 세쌍둥이","리얼삼둥이의개그일상","9.84"
"108","외국 in 한국","영국인의한국생활","9.87"
"109","바(Bar)","바텐더","9.88"
"110","코스믹 코믹스","우주 판타지 만화","9.89"
"111","누루쿠타 소녀","알수없는 어떤 소녀","9.86"
"112","블랙메일","우체부 이야기.","8.95"
"113","新조선왕조실록","조선왕조인계자이야기","9.84"
"114","HAVE A NICE DAY","일상을 그린 이야기","9.78"
"115","스크류 드라이버","아이를 잃은 아버지","9.91"
"116","야귀록","어몽룡의 사랑이야기","9.75"
"117","스쿨워터","학교물","9.84"
"118","라텔론","근미래속의 마법사","9.20"
"119","매일 집밥 한그릇","먹고 사는 이야기","9.90"
"120","모야툰","모야의 일상","9.50"
